iter	Passed	Remaining
0	6	6714
1	13	6685
2	20	6799
3	27	6827
4	35	7119
5	42	7097
6	49	7078
7	56	7043
8	63	7017
9	70	6977
10	77	6942
11	83	6909
12	90	6900
13	98	6933
14	104	6881
15	111	6848
16	118	6834
17	124	6808
18	131	6775
19	138	6781
20	144	6747
21	151	6719
22	157	6702
23	164	6684
24	171	6679
25	177	6657
26	183	6630
27	190	6618
28	197	6616
29	204	6616
30	211	6615
31	218	6600
32	225	6601
33	232	6607
34	238	6586
35	245	6577
36	251	6554
37	258	6534
38	264	6510
39	270	6498
40	277	6482
41	284	6488
42	289	6453
43	296	6452
44	302	6427
45	308	6404
46	314	6382
47	320	6357
48	327	6359
49	333	6338
50	340	6332
51	346	6318
52	352	6302
53	358	6285
54	364	6269
55	370	6248
56	376	6232
57	382	6215
58	388	6203
59	395	6191
60	401	6182
61	408	6175
62	415	6181
63	422	6176
64	429	6179
65	435	6168
66	442	6162
67	448	6151
68	455	6152
69	471	6260
70	478	6255
71	484	6245
72	490	6230
73	497	6222
74	503	6209
75	509	6193
76	515	6173
77	520	6156
78	527	6150
79	534	6147
80	540	6133
81	546	6122
82	553	6111
83	559	6101
84	565	6088
85	571	6073
86	577	6063
87	583	6049
88	589	6035
89	596	6030
90	602	6021
91	609	6017
92	616	6010
93	622	6003
94	628	5989
95	634	5978
96	641	5973
97	648	5964
98	654	5952
99	659	5939
100	666	5928
101	672	5917
102	679	5915
103	685	5906
104	692	5901
105	698	5888
106	704	5879
107	710	5864
108	715	5852
109	722	5845
110	729	5845
111	735	5835
112	742	5827
113	748	5818
114	754	5809
115	760	5798
116	767	5793
117	774	5786
118	780	5777
119	786	5766
120	792	5757
121	799	5750
122	806	5747
123	813	5747
124	816	5717
125	823	5711
126	829	5705
127	836	5699
128	842	5688
129	849	5681
130	855	5673
131	861	5664
132	866	5650
133	872	5638
134	878	5630
135	884	5621
136	891	5616
137	897	5606
138	903	5599
139	909	5588
140	916	5584
141	923	5578
142	929	5571
143	935	5563
144	942	5555
145	948	5547
146	955	5543
147	961	5535
148	968	5528
149	973	5515
150	980	5510
151	987	5507
152	994	5502
153	1000	5498
154	1008	5495
155	1014	5490
156	1021	5483
157	1027	5475
158	1034	5469
159	1040	5461
160	1047	5456
161	1053	5448
162	1061	5451
163	1067	5443
164	1074	5436
165	1080	5430
166	1087	5424
167	1093	5415
168	1099	5408
169	1106	5402
170	1112	5394
171	1119	5387
172	1125	5379
173	1131	5369
174	1137	5362
175	1143	5352
176	1150	5347
177	1155	5338
178	1162	5329
179	1168	5322
180	1174	5313
181	1180	5306
182	1187	5299
183	1193	5294
184	1199	5286
185	1207	5283
186	1213	5277
187	1220	5271
188	1227	5265
189	1233	5258
190	1239	5250
191	1245	5243
192	1252	5235
193	1258	5226
194	1264	5219
195	1271	5214
196	1278	5210
197	1284	5204
198	1290	5196
199	1298	5193
200	1304	5186
201	1311	5180
202	1317	5174
203	1324	5167
204	1330	5160
205	1337	5154
206	1343	5147
207	1349	5138
208	1355	5131
209	1362	5125
210	1368	5116
211	1374	5110
212	1381	5102
213	1388	5098
214	1394	5090
215	1401	5088
216	1407	5080
217	1414	5073
218	1420	5065
219	1428	5063
220	1434	5055
221	1441	5052
222	1447	5043
223	1454	5037
224	1459	5028
225	1466	5021
226	1471	5012
227	1478	5004
228	1484	4997
229	1490	4991
230	1497	4985
231	1504	4981
232	1511	4976
233	1518	4970
234	1525	4965
235	1531	4959
236	1538	4952
237	1544	4944
238	1550	4935
239	1556	4927
240	1562	4922
241	1569	4916
242	1575	4908
243	1581	4901
244	1588	4894
245	1594	4887
246	1601	4881
247	1607	4874
248	1613	4867
249	1620	4860
250	1626	4853
251	1633	4847
252	1639	4839
253	1645	4831
254	1651	4825
255	1657	4817
256	1664	4812
257	1671	4806
258	1677	4799
259	1683	4792
260	1689	4784
261	1696	4777
262	1702	4769
263	1708	4762
264	1714	4754
265	1720	4748
266	1727	4741
267	1733	4734
268	1739	4726
269	1745	4719
270	1751	4712
271	1758	4705
272	1764	4698
273	1771	4693
274	1778	4689
275	1784	4681
276	1790	4672
277	1797	4667
278	1804	4662
279	1810	4655
280	1816	4648
281	1823	4641
282	1829	4635
283	1836	4629
284	1841	4620
285	1848	4614
286	1854	4607
287	1861	4602
288	1867	4594
289	1873	4587
290	1879	4578
291	1886	4572
292	1892	4565
293	1898	4559
294	1904	4550
295	1910	4543
296	1916	4536
297	1922	4529
298	1929	4524
299	1935	4516
300	1944	4514
301	1960	4531
302	1969	4530
303	1989	4554
304	1995	4547
305	2002	4541
306	2009	4535
307	2016	4531
308	2023	4525
309	2030	4519
310	2036	4511
311	2043	4506
312	2049	4498
313	2056	4491
314	2062	4484
315	2069	4478
316	2074	4470
317	2080	4461
318	2087	4455
319	2094	4451
320	2100	4443
321	2107	4436
322	2113	4429
323	2120	4423
324	2125	4413
325	2131	4406
